customer_id,tenure_months,monthly_charges,total_charges,contract_type,support_calls,churn
C00000,7,26.21,207.63,month,3,1
C00001,55,65.83,3756.93,year,5,1
C00002,47,32.9,1388.49,year,0,1
C00003,32,35.23,1238.15,month,7,1
C00004,31,83.23,2151.29,month,4,1
C00005,61,59.29,4013.68,month,4,1
C00006,7,112.19,813.6,year,1,1
C00007,50,51.92,2191.8,year,4,1
C00008,15,92.62,1155.62,year,0,1
C00009,7,66.11,509.2,month,7,1
C00010,38,86.0,2997.33,month,5,1
C00011,70,79.97,6469.61,year,3,1
C00012,53,67.28,3939.64,month,6,1
C00013,55,115.01,6827.01,year,6,1
C00014,51,54.27,2522.66,month,0,1
C00015,56,37.72,2288.86,month,0,1
C00016,37,87.81,3831.38,year,2,1
C00017,10,104.6,875.11,year,0,1
C00018,60,24.03,1341.54,year,4,1
C00019,32,64.96,1858.1,month,4,1
C00020,36,109.25,3765.06,two_year,4,1
C00021,27,94.96,2812.45,two_year,0,1
C00022,13,119.18,1533.38,two_year,7,1
C00023,66,73.14,4963.81,year,7,1
C00024,56,86.0,4457.99,year,4,1
C00025,46,50.25,1979.84,year,0,1
C00026,29,114.75,3017.52,month,3,1
C00027,59,56.63,3821.87,month,5,1
C00028,39,93.85,3810.09,year,5,1
C00029,32,60.31,1835.73,month,1,1
C00030,32,76.18,2720.45,month,6,1
C00031,17,91.98,1291.24,two_year,7,1
C00032,7,70.89,447.38,month,4,1
C00033,40,110.71,3950.32,year,3,1
C00034,64,61.93,4733.02,year,4,1
C00035,5,84.71,458.47,month,0,1
C00036,61,54.24,3464.52,two_year,4,1
C00037,59,60.82,2877.86,month,0,1
C00038,20,64.01,1118.54,two_year,0,1
C00039,45,32.58,1545.59,year,4,1
C00040,12,29.17,333.2,month,4,1
C00041,54,86.75,5479.52,month,7,1
C00042,50,85.55,4730.44,month,4,1
C00043,26,86.29,2196.32,month,7,1
C00044,5,21.98,120.87,month,6,1
C00045,69,52.65,4323.68,two_year,2,1
C00046,32,39.78,1253.09,month,7,1
C00047,64,97.82,6617.39,two_year,3,1
C00048,49,106.06,6067.25,month,4,1
C00049,56,44.67,2250.04,two_year,0,1
C00050,54,86.78,5410.7,month,1,1
C00051,14,32.94,386.92,month,4,1
C00052,26,47.52,1308.88,year,2,1
C00053,34,33.87,1281.86,month,4,1
C00054,36,48.35,1820.39,two_year,0,1
C00055,4,87.47,349.26,month,2,1
C00056,39,111.03,4533.42,year,5,1
C00057,11,40.25,381.06,year,4,1
C00058,53,74.21,3485.65,year,7,1
C00059,49,90.14,4010.33,month,7,1
C00060,66,115.29,7906.75,month,6,1
C00061,53,81.01,4193.75,month,0,1
C00062,27,45.51,1103.18,month,4,1
C00063,69,82.55,6568.14,month,1,1
C00064,30,52.05,1482.75,two_year,2,1
C00065,24,117.61,2761.71,year,1,1
C00066,65,59.97,3757.25,year,3,1
C00067,27,88.54,2086.44,month,0,1
C00068,6,22.32,146.33,month,4,1
C00069,34,60.01,1998.27,year,1,1
C00070,57,107.51,4942.31,month,4,1
C00071,14,81.02,1344.81,month,5,1
C00072,33,64.39,2393.25,year,1,1
C00073,10,113.59,1237.48,year,0,1
C00074,49,105.4,5927.08,two_year,6,1
C00075,34,52.22,2064.39,month,5,1
C00076,24,74.45,1670.65,year,2,1
C00077,17,68.98,1224.71,month,7,1
C00078,41,83.22,3560.52,month,1,1
C00079,48,53.41,2325.05,year,7,1
C00080,67,44.42,2645.14,month,0,1
C00081,32,111.27,3010.75,year,5,1
C00082,12,112.39,1434.63,month,0,1
C00083,60,104.33,6963.2,month,1,1
C00084,45,117.82,5855.32,two_year,3,1
C00085,50,94.5,4377.76,month,0,1
C00086,7,96.47,595.68,year,3,1
C00087,23,96.26,2172.9,month,1,1
C00088,55,68.06,3813.39,two_year,0,1
C00089,60,65.65,4599.31,month,7,1
C00090,31,44.02,1569.22,month,7,1
C00091,58,84.48,5715.29,year,7,1
C00092,60,48.93,3347.12,month,1,1
C00093,28,45.78,1520.05,month,3,1
C00094,64,78.6,4960.98,two_year,2,1
