timestamp_hours,sample_id,isotope_id,measured_bq,uncertainty_bq
0.0,S01,Mv190,0.0,1.0
0.0,S01,Zy220,200.0,7.571068
0.0,S01,Zy224,1000.0,16.311388
10.0,S01,Mv190,11.582559,2.201658
10.0,S01,Zy220,257.97321,8.530772
10.0,S01,Zy224,943.874313,15.861269
24.0,S01,Mv190,26.059471,3.052424
24.0,S01,Zy220,318.485454,9.42308
24.0,S01,Zy224,870.550563,15.252547
48.0,S01,Mv190,46.66569,3.915615
48.0,S01,Zy220,379.346474,10.238409
48.0,S01,Zy224,757.858283,14.264613
100.0,S01,Mv190,76.584772,4.875636
100.0,S01,Zy220,399.561365,10.494516
100.0,S01,Zy224,561.231024,12.345157
200.0,S01,Mv190,97.135362,5.427864
200.0,S01,Zy220,292.043584,9.044641
200.0,S01,Zy224,566.964472,9.373842
500.0,S01,Mv190,63.575151,4.486701
500.0,S01,Zy220,59.675025,4.362481
500.0,S01,Zy224,55.68117,4.230991
