timestamp_hours,sample_id,isotope_id,measured_bq,uncertainty_bq
0.0,S02,Tx306,0.0,1.0
0.0,S02,Tx310,5000.0,35.855339
2.0,S02,Tx306,4319.94924,33.36316
2.0,S02,Tx310,4204.482076,32.920989
5.0,S02,Tx306,3346.677799,29.425239
5.0,S02,Tx310,3242.098887,28.969716
8.0,S02,Tx306,2580.64516,25.900025
8.0,S02,Tx310,2500.0,25.5
16.0,S02,Tx306,1290.322581,18.46053
16.0,S02,Tx310,375.0,18.17767
24.0,S02,Tx306,645.16129,13.200013
24.0,S02,Tx310,625.0,13.0
48.0,S02,Tx306,80.645161,4.990133
48.0,S02,Tx310,78.125,4.919417
