timestamp_hours,sample_id,isotope_id,measured_bq,uncertainty_bq
0.0,S03,Fn246,0.0,1.0
0.0,S03,Fn250,800.0,14.642136
0.0,S03,Wp400,0.0,1.0
0.0,S03,Zy220,0.0,1.0
0.0,S03,Zy224,150.0,6.623724
10.0,S03,Fn246,14.497727,2.403794
10.0,S03,Fn250,781.727975,14.479699
10.0,S03,Wp400,118.317554,5.938694
10.0,S03,Zy220,12.729885,2.283948
10.0,S03,Zy224,141.581147,6.449394
50.0,S03,Fn246,66.089518,4.564773
50.0,S03,Fn250,712.718975,13.848399
50.0,S03,Wp400,144.800893,6.516662
50.0,S03,Zy220,42.80048,3.771104
50.0,S03,Zy224,112.373031,5.800307
100.0,S03,Fn246,117.758134,5.925821
100.0,S03,Fn250,634.960421,13.09921
100.0,S03,Wp400,387.433012,6.182085
100.0,S03,Zy220,52.855147,4.135077
100.0,S03,Zy224,84.184654,5.08761
200.0,S03,Fn246,186.929386,7.336106
200.0,S03,Fn250,503.96842,11.72462
200.0,S03,Wp400,102.502052,5.562165
200.0,S03,Zy220,42.136103,3.745616
200.0,S03,Zy224,47.247039,3.936824
500.0,S03,Fn246,584.15433,8.142999
500.0,S03,Fn250,251.98421,8.437005
500.0,S03,Wp400,51.251026,4.079491
500.0,S03,Zy220,8.929306,1.994097
500.0,S03,Zy224,8.352175,1.945007
1000.0,S03,Fn246,147.197667,6.566252
1000.0,S03,Fn250,79.370053,4.954494
1000.0,S03,Wp400,16.143062,2.508921
1000.0,S03,Zy220,0.503727,1.0
1000.0,S03,Zy224,0.465059,1.0
