pick_id,event_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,EVT_A,STA01,P,102.271571,0.8,use,577.57
E02,EVT_A,STA01,S,104.02602,0.7,use,563.82
E03,EVT_A,STA02,P,103.133807,1.4,use,339.24
E04,EVT_A,STA02,S,105.529822,0.6,use,316.94
E05,EVT_A,STA03,P,104.307597,0.7,use,261.51
E06,EVT_A,STA03,S,107.577321,1.0,use,259.0
E07,EVT_A,STA04,P,105.794411,1.1,use,125.19
E08,EVT_A,STA04,S,110.130845,1.0,use,176.04
E09,EVT_A,STA05,P,105.268186,1.3,use,171.74
E10,EVT_A,STA05,S,109.286473,0.5,use,184.32
E11,EVT_A,STA07,P,104.457731,0.8,use,226.6
E12,EVT_A,STA07,S,107.794816,0.7,use,203.84
E13,EVT_A,STA08,P,107.60585,0.6,use,108.95
E14,EVT_A,STA08,S,113.218804,0.6,use,118.18
E15,EVT_A,STA09,P,105.218856,1.3,use,154.57
E16,EVT_A,STA09,S,109.126592,1.2,use,191.21
E17,EVT_A,STA10,P,107.342189,0.9,use,103.13
E18,EVT_A,STA10,S,112.904961,1.1,use,100.9
E19,EVT_A,STA11,P,105.883057,1.4,use,135.77
E20,EVT_A,STA11,S,110.257609,1.1,use,152.24
E21,EVT_A,STA12,P,108.638649,0.7,use,74.05
E22,EVT_A,STA12,S,115.092099,0.8,use,93.09
E01,EVT_B,STA01,P,203.316419,0.6,use,673.27
E02,EVT_B,STA01,S,205.920413,0.8,use,496.29
E03,EVT_B,STA02,P,205.88137,0.9,use,390.1
E04,EVT_B,STA02,S,210.417456,0.7,use,303.76
E05,EVT_B,STA03,P,206.039551,1.1,use,226.19
E06,EVT_B,STA03,S,210.717266,1.1,use,239.55
E07,EVT_B,STA04,P,204.124633,0.7,use,141.45
E08,EVT_B,STA04,S,207.357698,0.9,use,120.62
E09,EVT_B,STA05,P,205.509517,1.1,use,185.77
E10,EVT_B,STA05,S,209.730061,1.2,use,142.17
E11,EVT_B,STA07,P,207.610747,0.7,use,185.15
E12,EVT_B,STA07,S,213.33326,0.5,use,234.17
E13,EVT_B,STA08,P,204.712332,0.7,use,93.27
E14,EVT_B,STA08,S,208.361617,1.4,use,114.79
E15,EVT_B,STA09,P,207.381443,1.2,use,183.92
E16,EVT_B,STA09,S,212.979312,0.9,use,154.99
E17,EVT_B,STA10,P,205.410757,0.8,use,81.67
E18,EVT_B,STA10,S,209.529614,0.7,use,119.78
E19,EVT_B,STA11,P,207.737716,1.1,use,116.26
E20,EVT_B,STA11,S,213.626662,1.4,use,151.63
E21,EVT_B,STA12,P,206.881322,1.5,use,81.24
E22,EVT_B,STA12,S,212.168265,1.0,use,90.04
E01,EVT_C,STA01,P,302.003055,0.6,use,639.94
