pick_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,STA01,P,102.271571,0.8,use,577.57
E02,STA01,S,104.02602,0.7,use,563.82
E03,STA02,P,103.133807,1.4,use,339.24
E04,STA02,S,105.529822,0.6,use,316.94
E05,STA03,P,104.307597,0.7,use,261.51
E06,STA03,S,107.577321,1.0,use,259.0
E07,STA04,P,105.794411,1.1,use,125.19
E08,STA04,S,110.130845,1.0,use,176.04
E09,STA05,P,105.268186,1.3,use,171.74
E10,STA05,S,109.286473,0.5,use,184.32
E11,STA07,P,104.457731,0.8,use,226.6
E12,STA07,S,107.794816,0.7,use,203.84
E13,STA08,P,107.60585,0.6,use,108.95
E14,STA08,S,113.218804,0.6,use,118.18
E15,STA09,P,105.218856,1.3,use,154.57
E16,STA09,S,109.126592,1.2,use,191.21
E17,STA10,P,107.342189,0.9,use,103.13
E18,STA10,S,112.904961,1.1,use,100.9
E19,STA11,P,105.883057,1.4,use,135.77
E20,STA11,S,110.257609,1.1,use,152.24
E21,STA12,P,108.638649,0.7,use,74.05
E22,STA12,S,115.092099,0.8,use,93.09
