pick_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,STA01,P,203.316419,0.6,use,673.27
E02,STA01,S,205.920413,0.8,use,496.29
E03,STA02,P,205.88137,0.9,use,390.1
E04,STA02,S,210.417456,0.7,use,303.76
E05,STA03,P,206.039551,1.1,use,226.19
E06,STA03,S,210.717266,1.1,use,239.55
E07,STA04,P,204.124633,0.7,use,141.45
E08,STA04,S,207.357698,0.9,use,120.62
E09,STA05,P,205.509517,1.1,use,185.77
E10,STA05,S,209.730061,1.2,use,142.17
E11,STA07,P,207.610747,0.7,use,185.15
E12,STA07,S,213.33326,0.5,use,234.17
E13,STA08,P,204.712332,0.7,use,93.27
E14,STA08,S,208.361617,1.4,use,114.79
E15,STA09,P,207.381443,1.2,use,183.92
E16,STA09,S,212.979312,0.9,use,154.99
E17,STA10,P,205.410757,0.8,use,81.67
E18,STA10,S,209.529614,0.7,use,119.78
E19,STA11,P,207.737716,1.1,use,116.26
E20,STA11,S,213.626662,1.4,use,151.63
E21,STA12,P,206.881322,1.5,use,81.24
E22,STA12,S,212.168265,1.0,use,90.04
