pick_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,STA01,P,302.003055,0.6,use,639.94
E02,STA01,S,303.443515,1.1,use,629.31
E03,STA02,P,304.328994,0.6,use,337.19
E04,STA02,S,307.486904,0.9,use,378.09
E05,STA03,P,307.004283,1.5,use,192.08
E06,STA03,S,312.087651,1.4,use,203.88
E07,STA04,P,305.451723,1.2,use,160.05
E08,STA04,S,309.394676,1.0,use,137.12
E09,STA05,P,303.306632,0.6,use,168.22
E10,STA05,S,305.793261,0.9,use,161.16
E11,STA07,P,307.065301,1.4,use,211.83
E12,STA07,S,312.34774,0.8,use,203.01
E13,STA08,P,305.73239,1.4,use,109.44
E14,STA08,S,309.919022,1.4,use,92.89
E15,STA09,P,308.261203,1.1,use,184.04
E16,STA09,S,314.380342,0.7,use,154.63
E17,STA10,P,304.448866,1.3,use,91.47
E18,STA10,S,307.674138,1.0,use,86.16
E19,STA11,P,306.302414,0.5,use,122.23
E20,STA11,S,310.89118,1.4,use,118.16
E21,STA12,P,309.265023,0.8,use,82.78
E22,STA12,S,315.997125,0.6,use,90.17
