pick_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,STA01,P,501.732772,0.6,use,648.02
E02,STA01,S,502.931173,0.8,use,707.96
E03,STA02,P,504.863567,1.4,use,341.77
E04,STA02,S,508.424007,1.0,use,309.06
E05,STA03,P,505.524855,1.2,use,192.76
E06,STA03,S,509.561111,1.5,use,201.35
E07,STA04,P,504.518084,1.1,use,132.44
E08,STA04,S,507.778731,0.6,use,129.58
E09,STA05,P,505.155817,0.7,use,131.24
E10,STA05,S,508.93424,0.7,use,165.13
E11,STA07,P,506.828541,0.7,use,190.35
E12,STA07,S,511.82708,0.7,use,248.94
E13,STA08,P,505.803651,1.4,use,101.76
E14,STA08,S,510.004573,0.7,use,107.5
E15,STA09,P,506.927818,1.2,use,144.78
E16,STA09,S,512.040215,1.4,use,195.31
E17,STA10,P,506.050462,1.1,use,101.2
E18,STA10,S,510.425314,1.3,use,116.72
E19,STA11,P,507.273675,0.7,use,143.49
E20,STA11,S,512.611992,0.9,use,137.66
E21,STA12,P,507.907129,1.0,use,79.67
E22,STA12,S,513.692374,1.5,use,71.31
