pick_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,STA01,P,602.927797,0.6,use,487.9
E02,STA01,S,605.088245,1.4,use,699.51
E03,STA02,P,602.631839,0.7,use,335.42
E04,STA02,S,604.565398,0.9,use,382.04
E05,STA03,P,606.713646,0.8,use,220.31
E06,STA03,S,611.591987,0.9,use,190.34
E07,STA04,P,606.936886,1.4,use,156.34
E08,STA04,S,611.936646,1.5,use,122.1
E09,STA05,P,603.376343,1.3,use,140.04
E10,STA05,S,605.928659,1.3,use,167.0
E11,STA07,P,605.398222,0.7,use,192.83
E12,STA07,S,609.363714,0.9,use,250.58
E13,STA08,P,607.723462,0.6,use,84.43
E14,STA08,S,613.303495,0.8,use,110.17
E15,STA09,P,607.553827,1.3,use,177.46
E16,STA09,S,613.022882,1.5,use,190.02
E17,STA10,P,606.075712,1.5,use,90.43
E18,STA10,S,610.481558,0.7,use,102.49
E19,STA11,P,604.680932,0.8,use,136.6
E20,STA11,S,608.156591,1.0,use,136.17
E21,STA12,P,610.335062,1.2,use,93.37
E22,STA12,S,617.958563,1.0,use,97.6
F99,STA01,P,700.0,1.0,use,548.31
