pick_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,STA01,P,801.336719,1.4,use,517.02
E02,STA01,S,802.27679,0.7,use,493.54
E03,STA02,P,804.291322,0.9,use,271.11
E04,STA02,S,807.376061,0.8,use,331.73
E05,STA03,P,804.98953,1.3,use,238.03
E06,STA03,S,808.668029,1.5,use,210.27
E07,STA04,P,805.465778,1.5,use,132.68
E08,STA04,S,809.448937,0.8,use,160.95
E09,STA05,P,805.745289,1.4,use,176.13
E10,STA05,S,809.985496,0.9,use,159.91
E11,STA07,P,806.061631,0.7,use,224.93
E12,STA07,S,810.555322,1.1,use,244.72
E13,STA08,P,807.353115,1.5,use,111.1
E14,STA08,S,812.726396,1.3,use,104.62
E15,STA09,P,806.397512,0.8,use,181.2
E16,STA09,S,811.065852,0.6,use,199.75
E17,STA10,P,807.467026,0.6,use,98.53
E18,STA10,S,812.997212,0.8,use,103.39
E19,STA11,P,807.275634,1.1,use,147.59
E20,STA11,S,812.553561,1.1,use,162.13
E21,STA12,P,808.921472,0.8,use,92.27
E22,STA12,S,815.424354,1.3,use,67.62
