pick_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,STA01,P,1005.787416,0.6,use,642.11
E02,STA01,S,1009.997499,1.4,use,699.89
E03,STA02,P,1008.61588,1.3,use,338.5
E04,STA02,S,1014.872448,1.1,use,337.6
E05,STA03,P,1003.726561,0.8,use,190.92
E06,STA03,S,1006.43827,1.4,use,187.2
E07,STA04,P,1004.376394,1.4,use,144.6
E08,STA04,S,1007.514698,0.7,use,138.08
E09,STA05,P,1009.919398,1.3,use,146.64
E10,STA05,S,1017.201814,1.4,use,136.27
E11,STA07,P,1008.485377,0.7,use,247.9
E12,STA07,S,1014.744917,1.4,use,237.36
E13,STA08,P,1007.218653,1.3,use,102.63
E14,STA08,S,1012.350266,1.4,use,117.6
E15,STA09,P,1005.163279,0.8,use,204.24
E16,STA09,S,1008.905054,1.4,use,181.95
E17,STA10,P,1010.082738,1.3,use,92.21
E18,STA10,S,1017.378547,0.8,use,82.89
E19,STA11,P,1011.076746,1.4,use,153.65
E20,STA11,S,1019.152716,1.4,use,137.72
E21,STA12,P,1003.761752,1.0,use,86.55
E22,STA12,S,1006.54879,0.8,use,95.19
