pick_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,STA01,P,1103.754628,0.5,use,518.85
E02,STA01,S,1106.453865,0.7,use,614.9
E03,STA02,P,1105.491025,1.5,use,356.68
E04,STA02,S,1109.583516,0.8,use,337.32
E05,STA03,P,1105.991718,1.5,use,191.91
E06,STA03,S,1110.366391,1.0,use,215.47
E07,STA04,P,1105.280873,1.5,use,138.73
E08,STA04,S,1109.117801,0.7,use,158.76
E09,STA05,P,1105.722818,0.6,use,186.21
E10,STA05,S,1109.90119,0.9,use,151.81
E11,STA07,P,1106.977268,1.1,use,225.45
E12,STA07,S,1112.066769,1.0,use,191.52
E13,STA08,P,1106.18926,0.8,use,117.38
E14,STA08,S,1110.724023,1.2,use,112.13
E15,STA09,P,1107.123334,1.0,use,173.63
E16,STA09,S,1112.268877,1.2,use,167.15
E17,STA10,P,1106.389088,0.9,use,94.04
E18,STA10,S,1111.020446,0.6,use,94.39
E19,STA11,P,1107.332722,0.8,use,165.57
E20,STA11,S,1112.688192,1.3,use,134.02
E21,STA12,P,1107.848356,0.8,use,82.09
E22,STA12,S,1113.583385,0.9,use,97.54
