pick_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,STA01,P,1205.247695,0.6,use,632.1
E02,STA01,S,1209.322286,0.9,use,604.73
E03,STA02,P,1202.227033,1.4,use,326.69
E04,STA02,S,1203.427593,1.1,use,296.14
E05,STA03,P,1206.163964,0.5,use,216.74
E06,STA03,S,1210.95703,0.8,use,252.96
E07,STA04,P,1208.951479,1.2,use,156.1
E08,STA04,S,1215.906455,1.0,use,164.1
E09,STA05,P,1205.885452,1.0,use,143.59
E10,STA05,S,1210.43399,1.4,use,166.11
E11,STA07,P,1202.194333,0.6,use,245.04
E12,STA07,S,1203.677123,1.0,use,204.06
E13,STA08,P,1210.67782,1.3,use,107.53
E14,STA08,S,1218.524626,1.3,use,84.55
E15,STA09,P,1205.948188,0.7,use,202.44
E16,STA09,S,1210.321735,0.5,use,177.64
E17,STA10,P,1209.434436,1.3,use,90.98
E18,STA10,S,1216.502783,0.6,use,87.7
E19,STA11,P,1203.81375,0.7,use,142.2
E20,STA11,S,1207.032086,1.2,use,142.28
E21,STA12,P,1211.664658,1.2,use,68.33
E22,STA12,S,1220.42724,0.5,use,97.68
