pick_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,STA01,P,1304.137379,0.6,use,692.82
E02,STA01,S,1307.11325,0.9,use,585.43
E03,STA02,P,1307.273633,1.0,use,286.65
E04,STA02,S,1312.625344,0.6,use,383.4
E05,STA03,P,1308.884732,1.0,use,229.28
E06,STA03,S,1315.428011,1.3,use,249.3
E07,STA04,P,1305.090589,1.1,use,149.17
E08,STA04,S,1308.821106,1.5,use,135.17
E09,STA05,P,1304.959436,1.2,use,184.71
E10,STA05,S,1308.569377,1.0,use,194.19
E11,STA07,P,1310.041101,1.4,use,187.79
E12,STA07,S,1317.364887,1.2,use,213.53
E13,STA08,P,1303.871492,0.7,use,94.99
E14,STA08,S,1306.701435,1.1,use,116.45
E15,STA09,P,1310.502421,1.1,use,170.79
E16,STA09,S,1318.193877,0.8,use,196.05
E17,STA10,P,1303.196208,0.8,use,116.37
E18,STA10,S,1305.514101,0.8,use,92.48
E19,STA11,P,1308.857881,0.7,use,155.53
E20,STA11,S,1315.365897,1.2,use,134.62
E21,STA12,P,1309.035596,0.9,use,95.78
E22,STA12,S,1315.669335,1.0,use,81.86
