pick_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,STA01,P,1406.011368,0.9,use,670.84
E02,STA01,S,1410.422679,1.4,use,542.95
E03,STA02,P,1404.342428,1.4,use,311.16
E04,STA02,S,1407.570506,1.3,use,350.2
E05,STA03,P,1404.52647,0.9,use,275.21
E06,STA03,S,1407.841076,1.3,use,228.47
E07,STA04,P,1408.986018,0.9,use,127.75
E08,STA04,S,1415.480982,1.2,use,150.94
E09,STA05,P,1408.182794,0.7,use,152.81
E10,STA05,S,1414.247118,0.7,use,166.28
E11,STA07,P,1402.357051,0.8,use,212.88
E12,STA07,S,1404.101635,1.2,use,205.51
E13,STA08,P,1411.287771,1.0,use,92.53
E14,STA08,S,1419.548509,0.6,use,87.23
E15,STA09,P,1403.758481,0.9,use,183.67
E16,STA09,S,1406.537844,1.1,use,175.11
E17,STA10,P,1411.137165,0.6,use,90.75
E18,STA10,S,1419.248725,1.0,use,112.77
E19,STA11,P,1406.568278,0.7,use,113.92
E20,STA11,S,1411.356432,0.8,use,153.0
E21,STA12,P,1410.745629,1.3,use,88.31
E22,STA12,S,1418.614481,1.3,use,91.77
