pick_id,station_id,phase,arrival_time_s,weight,status,amplitude
E01,STA01,P,1501.316687,0.5,use,567.51
E02,STA01,S,1502.263874,1.0,use,633.54
E03,STA02,P,1504.278093,1.2,use,381.86
E04,STA02,S,1507.381693,1.3,use,403.53
E05,STA03,P,1506.779177,1.4,use,229.0
E06,STA03,S,1511.723918,0.7,use,186.94
E07,STA04,P,1505.761117,0.6,use,148.78
E08,STA04,S,1509.945937,1.2,use,154.01
E09,STA05,P,1504.132872,1.2,use,186.99
E10,STA05,S,1507.194068,1.3,use,187.28
E11,STA07,P,1507.103807,1.2,use,204.25
E12,STA07,S,1512.294173,0.6,use,211.42
E13,STA08,P,1506.690116,0.6,use,97.92
E14,STA08,S,1511.449842,0.5,use,108.5
E15,STA09,P,1508.190848,1.5,use,164.09
E16,STA09,S,1514.236027,0.9,use,180.76
E17,STA10,P,1505.757927,1.2,use,87.53
E18,STA10,S,1509.946621,1.1,use,100.34
E19,STA11,P,1506.816031,1.4,use,165.52
E20,STA11,S,1511.761558,1.1,use,130.36
E21,STA12,P,1509.85509,1.3,use,87.9
E22,STA12,S,1517.027182,0.8,use,86.5
