time_s,amplitude
0.0000000000,1.5485281374
0.0009765625,3.3622216881
0.0019531250,1.3539280681
0.0029296875,1.6585456242
0.0039062500,1.3945670729
0.0048828125,1.0725422611
0.0058593750,0.4784511419
0.0068359375,-0.6931591671
0.0078125000,-3.4933625905
0.0087890625,-1.2600108334
0.0097656250,1.6057090131
0.0107421875,1.3668340688
0.0117187500,3.1109391116
0.0126953125,1.2535174885
0.0136718750,0.7584110924
0.0146484375,2.1002905235
0.0156250000,0.9738756064
0.0166015625,-1.6700845952
0.0175781250,-2.3122596460
0.0185546875,-1.4048200956
0.0195312500,-0.5024625780
0.0205078125,3.2989708112
0.0214843750,1.9690130891
0.0224609375,0.7586390949
0.0234375000,2.3169261049
0.0244140625,1.2583315669
0.0253906250,1.0638579955
0.0263671875,-0.4411161747
0.0273437500,-2.5930128320
0.0283203125,-2.6897457175
0.0292968750,0.9791690148
0.0302734375,1.7407382843
0.0312500000,1.5414392799
0.0322265625,2.6005277211
0.0332031250,0.4619552700
0.0341796875,2.1000056277
0.0351562500,2.0455084248
0.0361328125,-1.0994001543
0.0371093750,-2.3777585000
0.0380859375,-1.8818205570
0.0390625000,-0.5404027640
0.0400390625,1.4182204271
0.0410156250,3.0364771256
0.0419921875,0.4354170911
0.0429687500,1.7084061334
0.0439453125,2.7078600900
0.0449218750,0.7617195937
0.0458984375,0.5271157588
0.0468750000,-2.2307012576
0.0478515625,-2.9011213299
0.0488281250,-0.4052590433
0.0498046875,1.9001397175
0.0507812500,1.1931950316
0.0517578125,1.7147575732
0.0527343750,1.9792530969
0.0537109375,1.0013635616
0.0546875000,3.0764258898
0.0556640625,0.0301775317
0.0566406250,-2.6165277581
0.0576171875,-1.8662113533
0.0585937500,-1.1240485720
0.0595703125,0.8115311591
0.0605468750,2.1337839170
0.0615234375,1.5705717807
0.0625000000,0.5083177999
0.0634765625,3.1836975234
0.0644531250,2.0282428080
0.0654296875,0.0061685605
0.0664062500,-0.6910895660
0.0673828125,-3.4107983108
0.0683593750,-1.1636322388
0.0693359375,1.2879865603
0.0703125000,1.3142618143
0.0712890625,0.9673096608
0.0722656250,1.9791785642
0.0732421875,1.9036304097
0.0742187500,2.0767133218
0.0751953125,2.1492206005
0.0761718750,-2.5050594395
0.0771484375,-2.3640572033
0.0781250000,-0.8910344488
0.0791015625,-0.2932830764
0.0800781250,1.7912180268
0.0810546875,1.3920454148
0.0820312500,0.8548667384
0.0830078125,2.1042425343
0.0839843750,3.5233802930
0.0849609375,0.4897861128
0.0859375000,-0.7928039747
0.0869140625,-1.9629539978
0.0878906250,-2.8199226326
0.0888671875,1.1066532065
0.0898437500,1.0984149498
0.0908203125,0.5552313987
0.0917968750,1.5290352158
0.0927734375,2.2950356589
0.0937500000,2.3497889472
0.0947265625,2.1403400859
0.0957031250,-0.3374427254
0.0966796875,-3.5137084464
0.0976562500,-0.8203744471
0.0986328125,-0.3562273750
0.0996093750,0.4255734974
0.1005859375,1.8041832732
0.1015625000,0.4447242882
0.1025390625,1.9235728010
0.1035156250,3.4206892289
0.1044921875,2.1454514014
0.1054687500,-0.9797146417
0.1064453125,-1.4063615745
0.1074218750,-2.3496917568
0.1083984375,-0.8732527182
0.1093750000,1.9419124068
0.1103515625,-0.2183733476
0.1113281250,0.9827526653
0.1123046875,2.4212692837
0.1132812500,2.5490883610
0.1142578125,2.5104924170
0.1152343750,0.5386828794
0.1162109375,-2.4139957396
0.1171875000,-2.3987422373
0.1181640625,0.4496074224
0.1191406250,-0.4553040848
0.1201171875,0.9203133196
0.1210937500,1.1854512992
0.1220703125,0.7642090091
0.1230468750,3.7618677817
0.1240234375,2.8310087179
0.1250000000,0.0863703305
0.1259765625,-1.6590521005
0.1269531250,-1.6159668672
0.1279296875,-1.5454174972
0.1289062500,0.7569338256
0.1298828125,0.9285372267
0.1308593750,-0.7315679601
0.1318359375,2.5690421134
0.1328125000,2.8280002785
