star_id,ra_deg,dec_deg,V_mag,B_mag,R_mag
STD_001,161.265,-10.421,14.13,14.823,13.704
STD_002,161.3,-10.378,13.412,14.072,13.005
STD_003,161.331,-10.45,12.987,13.581,12.62
STD_004,162.011,-10.123,13.876,14.612,13.422
STD_005,162.04,-10.195,14.502,15.31,14.02
STD_006,162.072,-10.11,12.11,12.604,11.812
STD_007,162.15,-10.23,13.24,13.788,12.91
STD_008,162.18,-10.265,14.87,,14.301
STD_009,162.22,-10.3,11.97,12.512,11.64
STD_010,162.26,-10.334,13.67,14.224,13.33
STD_011,162.295,-10.36,12.45,12.97,
STD_012,162.325,-10.402,13.005,13.56,12.674
STD_013,162.35,-10.438,14.221,15.01,13.77
STD_014,162.385,-10.47,13.58,14.18,13.234
