image_id,star_id,filter,time_utc,airmass,exposure_sec,instrumental_mag,mag_uncertainty
N009-IMG-0001,STD_001,B,2025-09-20T05:22:00Z,1.0857,45,-8.3031,0.011
N009-IMG-0002,STD_001,B,2025-09-20T06:29:00Z,1.4405,45,-8.2183,0.011
N009-IMG-0003,STD_001,B,2025-09-20T07:36:00Z,1.8595,45,-8.1176,0.011
N009-IMG-0004,STD_002,B,2025-09-20T05:43:00Z,1.0643,45,-9.0597,0.011
N009-IMG-0005,STD_002,B,2025-09-20T06:50:00Z,1.469,45,-8.9461,0.011
N009-IMG-0006,STD_002,B,2025-09-20T07:57:00Z,1.8167,45,-8.8705,0.011
N009-IMG-0007,STD_003,B,2025-09-20T05:04:00Z,1.0643,45,-9.5495,0.011
N009-IMG-0008,STD_003,B,2025-09-20T06:11:00Z,1.4476,45,-9.4604,0.011
N009-IMG-0009,STD_003,B,2025-09-20T07:18:00Z,1.8167,45,-9.3866,0.011
N009-IMG-0010,STD_004,B,2025-09-20T05:25:00Z,1.0571,45,-8.548,0.011
N009-IMG-0011,STD_004,B,2025-09-20T06:32:00Z,1.4619,45,-8.4237,0.011
N009-IMG-0012,STD_004,B,2025-09-20T07:39:00Z,1.831,45,-8.3276,0.011
N009-IMG-0013,STD_005,B,2025-09-20T05:46:00Z,1.0786,45,-7.8396,0.011
N009-IMG-0014,STD_005,B,2025-09-20T06:53:00Z,1.4619,45,-7.723,0.011
N009-IMG-0015,STD_005,B,2025-09-20T07:00:00Z,1.8524,45,-7.6294,0.011
N009-IMG-0016,STD_006,B,2025-09-20T05:07:00Z,1.0571,45,-10.5475,0.011
N009-IMG-0017,STD_006,B,2025-09-20T06:14:00Z,1.4405,45,-10.4464,0.011
N009-IMG-0018,STD_006,B,2025-09-20T07:21:00Z,1.831,45,-10.3076,0.011
N009-IMG-0019,STD_007,B,2025-09-20T05:28:00Z,1.0643,45,-9.3602,0.011
N009-IMG-0020,STD_007,B,2025-09-20T06:35:00Z,1.4476,45,-9.2438,0.011
N009-IMG-0021,STD_007,B,2025-09-20T07:42:00Z,1.8381,45,-9.1524,0.011
N009-IMG-0022,STD_008,B,2025-09-20T05:49:00Z,1.0857,45,-7.3445,0.011
N009-IMG-0023,STD_008,B,2025-09-20T06:56:00Z,1.4405,45,-7.2397,0.011
N009-IMG-0024,STD_008,B,2025-09-20T07:03:00Z,1.8381,45,-7.1451,0.011
N009-IMG-0025,STD_009,B,2025-09-20T05:10:00Z,1.0857,45,-10.6354,0.011
N009-IMG-0026,STD_009,B,2025-09-20T06:17:00Z,1.4405,45,-10.5544,0.011
N009-IMG-0027,STD_009,B,2025-09-20T07:24:00Z,1.8595,45,-10.4154,0.011
N009-IMG-0028,STD_010,B,2025-09-20T05:31:00Z,1.0643,45,-8.9159,0.011
N009-IMG-0029,STD_010,B,2025-09-20T06:38:00Z,1.4476,45,-8.8165,0.011
N009-IMG-0030,STD_010,B,2025-09-20T07:45:00Z,1.831,45,-8.7155,0.011
N009-IMG-0031,STD_011,B,2025-09-20T05:52:00Z,1.0714,45,-10.1864,0.011
N009-IMG-0032,STD_011,B,2025-09-20T06:59:00Z,1.4548,45,-10.0627,0.011
N009-IMG-0033,STD_011,B,2025-09-20T07:06:00Z,1.8238,45,-9.9609,0.011
N009-IMG-0034,STD_012,B,2025-09-20T05:13:00Z,1.0857,45,-9.5823,0.011
N009-IMG-0035,STD_012,B,2025-09-20T06:20:00Z,1.469,45,-9.4713,0.011
N009-IMG-0036,STD_012,B,2025-09-20T07:27:00Z,1.8238,45,-9.3865,0.011
N009-IMG-0037,STD_013,B,2025-09-20T05:34:00Z,1.0643,45,-8.1538,0.011
N009-IMG-0038,STD_013,B,2025-09-20T06:41:00Z,1.4476,45,-8.0244,0.011
N009-IMG-0039,STD_013,B,2025-09-20T07:48:00Z,1.8167,45,-7.912,0.011
N009-IMG-0040,STD_014,B,2025-09-20T05:55:00Z,1.0786,45,-8.961,0.011
N009-IMG-0041,STD_014,B,2025-09-20T06:02:00Z,1.469,45,-8.8754,0.011
N009-IMG-0042,STD_014,B,2025-09-20T07:09:00Z,1.831,45,-8.7498,0.011
N009-IMG-0043,PROG_A1,B,2025-09-20T06:55:00Z,1.4842,90,-7.4789,0.011
N009-IMG-0044,PROG_A1,B,2025-09-20T07:00:00Z,1.8421,90,-7.2155,0.011
N009-IMG-0045,PROG_A2,B,2025-09-20T06:05:00Z,1.497,90,-7.4212,0.011
N009-IMG-0046,PROG_A2,B,2025-09-20T07:10:00Z,1.823,90,-7.3375,0.011
N009-IMG-0047,PROG_B1,B,2025-09-20T06:15:00Z,1.4461,90,-6.8359,0.011
N009-IMG-0048,PROG_B1,B,2025-09-20T07:20:00Z,1.8167,90,-6.7377,0.011
N009-IMG-0049,PROG_B2,B,2025-09-20T06:25:00Z,1.497,90,-7.8058,0.011
N009-IMG-0050,PROG_B2,B,2025-09-20T07:30:00Z,1.8676,90,-7.7308,0.011
N009-IMG-0051,PROG_C1,B,2025-09-20T06:35:00Z,1.4524,90,-8.0996,0.011
N009-IMG-0052,PROG_C1,B,2025-09-20T07:40:00Z,1.8485,90,-8.0469,0.011
N009-IMG-0053,PROG_C2,B,2025-09-20T06:45:00Z,1.4588,90,-7.2055,0.011
N009-IMG-0054,PROG_C2,B,2025-09-20T07:50:00Z,1.8612,90,-7.0722,0.011
N009-IMG-0055,PROG_D1,B,2025-09-20T06:55:00Z,1.4652,90,-8.0729,0.011
N009-IMG-0056,PROG_D1,B,2025-09-20T07:00:00Z,1.8803,90,-7.9988,0.011
N009-IMG-0057,PROG_D2,B,2025-09-20T06:05:00Z,1.4779,90,-7.6585,0.011
N009-IMG-0058,PROG_D2,B,2025-09-20T07:10:00Z,1.8803,90,-7.6234,0.011
N009-IMG-0059,STD_001,V,2025-09-20T05:08:00Z,1.05,30,-9.5882,0.011
N009-IMG-0060,STD_001,V,2025-09-20T06:15:00Z,1.4548,30,-9.5346,0.011
N009-IMG-0061,STD_001,V,2025-09-20T07:22:00Z,1.8238,30,-9.4593,0.011
N009-IMG-0062,STD_002,V,2025-09-20T05:29:00Z,1.0929,30,-10.3119,0.011
N009-IMG-0063,STD_002,V,2025-09-20T06:36:00Z,1.4762,30,-10.2336,0.011
N009-IMG-0064,STD_002,V,2025-09-20T07:43:00Z,1.8452,30,-10.1962,0.011
N009-IMG-0065,STD_003,V,2025-09-20T05:50:00Z,1.0857,30,-10.7078,0.011
N009-IMG-0066,STD_003,V,2025-09-20T06:57:00Z,1.4405,30,-10.6598,0.011
N009-IMG-0067,STD_003,V,2025-09-20T07:04:00Z,1.8238,30,-10.5935,0.011
N009-IMG-0068,STD_004,V,2025-09-20T05:11:00Z,1.0857,30,-9.8322,0.011
N009-IMG-0069,STD_004,V,2025-09-20T06:18:00Z,1.4405,30,-9.7395,0.011
N009-IMG-0070,STD_004,V,2025-09-20T07:25:00Z,1.8595,30,-9.7147,0.011
N009-IMG-0071,STD_005,V,2025-09-20T05:32:00Z,1.0643,30,-9.2112,0.011
N009-IMG-0072,STD_005,V,2025-09-20T06:39:00Z,1.4548,30,-9.1574,0.011
